Total_Review,review_type,encoded_review,preprocessed_review
  Friendly accommodating staff Clean and tidy Food great too Overall my son and I had a fantastic experience when we stayed at the hotel ,Good_review,1,friendly accommodating staff clean tidy food great overall son fantastic experience stayed hotel
 The bed did not seem long enough I am under 6 foot but my feet were half off the bed Also the heating air conditioning seemed quite noisy   Hotel was very clean and the location was ideal for the Shaftesbury theatre which was the reason for booking this hotel,Good_review,1,bed long foot feet half bed heating air conditioning noisy hotel clean location ideal shaftesbury theatre reason booking hotel
 nothing i can think about  Just very good would come again,Good_review,1,think good come
 room is bit small ,Good_review,1,room bit small
 some parts door of elevator radiators in the bathroom needs be painted ,Good_review,1,parts door elevator radiators bathroom needs painted
  We got a complimentary upgrade and cake for two in the room on arrival for our honeymoon ,Good_review,1,got complimentary upgrade cake room arrival honeymoon
  The whole package is worth it,Good_review,1,package worth
 Too many intern in reception desk   Hi tech facility comfortable bed ,Good_review,1,intern reception desk hi tech facility comfortable bed
 Bedside plugs for devices overnight   Comfort and convenience ,Good_review,1,bedside plugs devices overnight comfort convenience
  We were given a lovely room room 11 Staff were friendly ,Good_review,1,given lovely room room staff friendly
 I ordered a sandwich at the bar and one minute later was served an inedible item a sandwich on stale bread with soggy wilted lettuce and tomato and one thin slice of something The waiter told me it had been pre prepared and was left over from the day before I neither ate nor paid for it   A comfortable place to spend the night before an early morning flight from Milan Linate but not really a four star hotel ,Bad_review,0,ordered sandwich bar minute later served inedible item sandwich stale bread soggy wilted lettuce tomato thin slice waiter told pre prepared left day ate paid comfortable place spend night early morning flight milan linate star hotel
 Very busy for breakfast at 9 30   Professional and attentive staff,Good_review,1,busy breakfast professional attentive staff
 Building work being carried out either side of the hotel which spoilt the kerb appeal and might be noisy on weekdays   Birthday treat for my wife Chose executive room with superb views of London Complimentary bottle of sparkling received from the management Everything we could have wished for and more ,Good_review,1,building work carried hotel spoilt kerb appeal noisy weekdays birthday treat wife chose executive room superb views london complimentary bottle sparkling received management wished
 Nothing  Clean hotel and rooms Very good staff and helpful,Good_review,1,clean hotel rooms good staff helpful
  Lovely room and staff Would stay there again,Good_review,1,lovely room staff stay
 No free water and a city tax which was not mentioned during the booking  Free Apples close to the lift ,Good_review,1,free water city tax mentioned booking free apples close lift
 Better work with taxi order We had a problem with taxi which was ordering by hotel the taxi driver ask to pay twice more then by counter because we went outside Vienna Very old TV it is no problem but strange for 5 star   Many thanks to hotel stuff for help with restaurant booking Good breakfast Big room Very good position ,Good_review,1,better work taxi order problem taxi ordering hotel taxi driver ask pay twice counter went outside vienna old tv problem strange star thanks hotel stuff help restaurant booking good breakfast big room good position
 N a  Lovely rooms and friendly staff to greet us ,Good_review,1,lovely rooms friendly staff greet
 I did find the lighting a little difficult at times since there was no lamp on the desk so to use it all the overhead lights had to be on My only complaint about the bathroom was that since I am petite the bathtub was high for me to climb into Everything else was wonderful   The room was well located just off the elevator and was very comfortable There was even a separate WiFi router for the room Bathroom facilities were luxurious This was our second stay and the location is perfect The staff couldn t have been more courteous and helpful We will be back the next time we visit London ,Good_review,1,find lighting little difficult times lamp desk use overhead lights complaint bathroom petite bathtub high climb wonderful room located elevator comfortable separate wifi router room bathroom facilities luxurious stay location perfect staff couldn courteous helpful time visit london
 The pillows were very hard and uncomfortable The bathroom had the most ridiculous basin which took up so much room that getting to the toilet was difficult and a large person would have found it impossible   Very helpful staff especially the porter who demonstrated how to use the heating unprompted which was exceptional in my experience Its proximity to Paddington station ,Good_review,1,pillows hard uncomfortable bathroom ridiculous basin took room getting toilet difficult large person found impossible helpful staff especially porter demonstrated use heating unprompted exceptional experience proximity paddington station
 the noice in the street early morning with lorries providing the shops But the hotel cannot help this to solve in the middle of the city So we cope with this of course   Beds were very good bathroom beautiful design and well equipped as expected very pleasant stay,Good_review,1,noice street early morning lorries providing shops hotel help solve middle city cope course beds good bathroom beautiful design equipped expected pleasant stay
 I liked it all  Just loved it but the staff are just great especially the three Italian ladies at the reception Lisa Lucia and Ilaria though all the others are great ,Good_review,1,liked loved staff great especially italian ladies reception lisa lucia ilaria great
  Everything,Good_review,1,
 We stayed for a whole week and never got fresh bed sheets The gym opening hours are ridiculous 8 to 8   Close to beach and town a few bars around too Hotel has everything you need the art needs some getting used to ,Good_review,1,stayed week got fresh bed sheets gym opening hours ridiculous close beach town bars hotel need art needs getting
 Facility was going through a renovation which was not announced during the time of booking otherwise I might have gone elsewhere The place was a bit noisy due to the renovation Plumbing was old but functional The bathroom sink had separate hot and cold faucets Made it difficult to wash your face without having to fill the sink Some lights in the room did not work Very limited room service menu  Checking and check out was quick and easy Room was spacious Bed was comfortable Coffee and tea making facility was available Free internet In room Iron and ironing board,Bad_review,0,facility going renovation announced time booking gone place bit noisy renovation plumbing old functional bathroom sink separate hot cold faucets difficult wash face having fill sink lights room work limited room service menu checking check quick easy room spacious bed comfortable coffee tea making facility available free internet room iron ironing board
 Building project going on next door but not too noisy   The whole experience walking distance to Canada Water tube station From here could access all main attractions in London Fantastic shopping at Westfield Stratford Great location friendly staff great food with beautiful views both at night and during the day Breakfast available till 11 00 ,Good_review,1,building project going door noisy experience walking distance canada water tube station access main attractions london fantastic shopping westfield stratford great location friendly staff great food beautiful views night day breakfast available till
  Excellent breakfast ,Good_review,1,excellent breakfast
 Very small room and the floor sloped   vety clean room and location was good,Good_review,1,small room floor sloped vety clean room location good
 Very pricey room did not have coffee tea maker   The staff were excellent We were in one of the apartments for 3 adults mother daughter and daughter s friend Nice amenities towels etc Room had a small fridge mini bar ,Good_review,1,pricey room coffee tea maker staff excellent apartments adults mother daughter daughter friend nice amenities towels etc room small fridge mini bar
 The lights were a bit confusing but in a short time we found how to operate them  Luxury accommodations very helpful staff who spoke English a short walk to the train station electric shades to keep out light and city noise We arrived one evening and were surprised to see each of the rooms lit with multi colored neon lights it was a spectacular sight Loved this hotel one of our favorites on our recent trip to Italy ,Good_review,1,lights bit confusing short time found operate luxury accommodations helpful staff spoke english short walk train station electric shades light city noise arrived evening surprised rooms lit multi colored neon lights spectacular sight loved hotel favorites recent trip italy
  every thing,Good_review,1,thing
 Could have done with some heating in the bathroom the towel rail didn t work  Good breakfast,Good_review,1,heating bathroom towel rail didn work good breakfast
 Room was a little hot  Location perfect for Kew Gardens M4 and getting to Heathrow airport Staff very welcoming and efficient ,Good_review,1,room little hot location perfect kew gardens m4 getting heathrow airport staff welcoming efficient
 Paid extra for Business Class Room 325 but was given one which was strictly for disabled use with quirky bathroom and disabled shower only Had to down grade me to normal room but without any partial refund Hotels should try to upgrade you rather than downgrade as they haven t got the rooms left  ,Good_review,1,paid extra business class room given strictly disabled use quirky bathroom disabled shower grade normal room partial refund hotels try upgrade downgrade haven got rooms left
 We made a reservation however when we got there they did not have a reservation that was upsetting but the front staff made it work out OK  The staff we re very nice and very accommodating,Good_review,1,reservation got reservation upsetting staff work ok staff nice accommodating
  The staff was very friendly and the dinner was excellent,Good_review,1,staff friendly dinner excellent
 room space is so strange and creepy   location,Bad_review,0,room space strange creepy location
 The heated towel rack wasn t working and hot water was very mild Not enough to deter me staying again if I am in town   The restaurant was fantastic I have many dietary requirements and they worked with me and served delicious food best in the UK The serving staff were also brilliant as was the front desk Best check in smiley happy beyond helpful and I have stayed at 7 hotels throughout the UK in the past two weeks You were the best hands down The room was amazing so well thought out The toiletries were also lovely ,Good_review,1,heated towel rack wasn working hot water mild deter staying town restaurant fantastic dietary requirements worked served delicious food best uk serving staff brilliant desk best check smiley happy helpful stayed hotels uk past weeks best hands room amazing thought toiletries lovely
 Nothing   Our room and the hotel was beautiful and we will definitely be coming back ,Good_review,1,room hotel beautiful definitely coming
 Nothing everything was as it should be plus more I theorilly enjoyed every minute of it  This is the 3rd time I ve stayed at a crowne plaza hotel but the first time in London I really do have to say it was excellent out of this world for quality location and comfort I don t know what a hotel has to have to get 5 stars as this hotel is definitely worth it everytime value for money was outstanding and the food t the hotel reception was quite unique I m a chef and it was easily best hotel food I ve ever had top class thanx for a beautiful stay and a fantastic weekend see use next time and il def be staying again when I m in London miss it already,Good_review,1,plus theorilly enjoyed minute time ve stayed crowne plaza hotel time london excellent world quality location comfort don know hotel stars hotel definitely worth everytime value money outstanding food hotel reception unique chef easily best hotel food ve class thanx beautiful stay fantastic weekend use time il def staying london miss
 Temperature of room was hard to keep constant kept having to switch between hot and cold air Room was small for a king but that wasn t much of a bother really Breakfast only served till 11am which was quite a shame   Really tasty room service food the little jars of sauces were a nice touch Room was of a high standard and very clean While the bathroom door was glass it didn t really pose a problem as it was around the corner of the bed ,Good_review,1,temperature room hard constant kept having switch hot cold air room small king wasn bother breakfast served till shame tasty room service food little jars sauces nice touch room high standard clean bathroom door glass didn pose problem corner bed
 It would have been nice to have a view but can t always expect that in a city hotel   The location was ideal for getting to Theatre and shopping Also great that we were able to walk to most places if we wanted Lovely breakfast comfy beds and very helpful staff ,Good_review,1,nice view expect city hotel location ideal getting theatre shopping great able walk places wanted lovely breakfast comfy beds helpful staff
  Loved the location Staff were attentive and accommodating Room was basic Weird decor Quite scruffy on the corridors No milk for tea coffee Very small towels ,Good_review,1,loved location staff attentive accommodating room basic weird decor scruffy corridors milk tea coffee small towels
 There was nothing not to like  Best location ,Good_review,1,like best location
 Nothing   Amazing ,Good_review,1,amazing
 Bathroom was well appointed but marble floor was a bit slippery when wet felt a bit like an ice rink   Very spacious downstairs room very comfortable and quiet with huge bathroom with big bath Liked the free mini bar cokes orange juice and Pringles free Liked that Number 4 tram stops right outside the front door of hotel And liked that tbe hotel is only 5 mins walk from Heinecken brewery 2 mins walk from Albert Cuypstraat street market and 10 mins walk from Rijksmuseum,Good_review,1,bathroom appointed marble floor bit slippery wet felt bit like ice rink spacious downstairs room comfortable quiet huge bathroom big bath liked free mini bar cokes orange juice pringles free liked number tram stops right outside door hotel liked tbe hotel mins walk heinecken brewery mins walk albert cuypstraat street market mins walk rijksmuseum
 Shower cabin broken and leaking Dust and cobwebs visible around the hotel  Facilities were excellent,Good_review,1,shower cabin broken leaking dust cobwebs visible hotel facilities excellent
 Had an early flight so we didnt get the full use of the facilities  Location and buffet was great The room was lovely ,Good_review,1,early flight nt use facilities location buffet great room lovely
 No marijuana smoking policy and no taxi ranks for a good 4 mile radius to hotel   Bed was extremely comfortable,Good_review,1,marijuana smoking policy taxi ranks good mile radius hotel bed extremely comfortable
 I did not like the location of electrical outlets it was difficult to reach them   The lobby was amazing I was able to work on my computer everyday and complete a lot of work due to the wonderful atmosphere ,Good_review,1,like location electrical outlets difficult reach lobby amazing able work computer everyday complete lot work wonderful atmosphere
  The staff are fabulous especially the receptionists who were very helpful and welcoming Our room was spotless and comfortable I would definitely return ,Good_review,1,staff fabulous especially receptionists helpful welcoming room spotless comfortable definitely return
 nothing  everything,Good_review,1,
 Really small room there was no space for the baby they had no blanket for the baby either   Good location near Paddington metro Clean room and discent breakfast,Good_review,1,small room space baby blanket baby good location near paddington metro clean room discent breakfast
 the gym the size of the room  staff are excellent the size of the bath room the room facilities the comfort excellent location quite and close to heart of paris ,Good_review,1,gym size room staff excellent size bath room room facilities comfort excellent location close heart paris
 did not know renovation in progress and only problem was time lift arrived as only one lift and on 5 th floor ,Bad_review,0,know renovation progress problem time lift arrived lift th floor
  Good location 10 minute walk to Vauxhall underground station Room was well equipped spacious and very quiet with no noise from outside ensuring a good nights sleep ,Good_review,1,good location minute walk vauxhall underground station room equipped spacious quiet noise outside ensuring good nights sleep
 The hotel was clearly very busy and booked up when we arrived The first room given was by the lift and made a lot of noise The second room had an interconnecting door The final room looked great room 402 but as it turns out the cleaners room was right next door and they were in and out throughout the night 2am 3am etc with the door banging we had a terrible night of little sleep as a result Everything else was fine just noisy cleaners and no sleep so left feeling like we needed a break in a different hotel  ,Bad_review,0,hotel clearly busy booked arrived room given lift lot noise room interconnecting door final room looked great room turns cleaners room right door night etc door banging terrible night little sleep result fine noisy cleaners sleep left feeling like needed break different hotel
 Nothing  The personal attitude from the staff especially from Antonella from Italy Thank you so much ,Good_review,1,personal attitude staff especially antonella italy thank
 New Year eve roof terrace was reservation only and unfortunately fully booked when we arrived   Beautiful hotel and room,Good_review,1,new year eve roof terrace reservation unfortunately fully booked arrived beautiful hotel room
  Bed in double room is very big and comfortable nice quiet place away from city chaos ,Good_review,1,bed double room big comfortable nice quiet place away city chaos
 We missed breakfast for one day because they didn t open on time and we had an early appointment   The location was bery good as it was close to the central station and was easy to locate The hotel had good facilities also ,Good_review,1,missed breakfast day didn open time early appointment location bery good close central station easy locate hotel good facilities
 No irons in room Air con was not very good  Quirky decor Nice rooms Bar restaurant Good location,Good_review,1,irons room air con good quirky decor nice rooms bar restaurant good location
 hotel facilities furniture etc are a bit old   great location close to all major attractions staff are nice they gave us a room in high floor that has access to small platio,Good_review,1,hotel facilities furniture etc bit old great location close major attractions staff nice gave room high floor access small platio
  delicious breakfast very good located ,Good_review,1,delicious breakfast good located
  Room looked recently decorated,Good_review,1,room looked recently decorated
 Room too small  Location staff,Good_review,1,room small location staff
  The bed wow ,Good_review,1,bed wow
 I liked everything   The cleansiness of the room and the service of the hotel ,Good_review,1,liked cleansiness room service hotel
 We stayed at a number of other Mercure hotels during our recent trip and this hotel is a blight on their chain definitely the worst Mercure we ve ever stayed in The lift is a disgrace and has to be experienced to be believed it is halfway down a long and narrow ground floor corridor and is the size of a shoe box with non automatic closing doors The Addams Family would be right at home in this lift The overall feel of the hotel is that demolition would be a kind renovation the only thing that saves it is the location close to the airport service is ordinary and the breakfast is overpriced do yourself a favour and catch an earlier flight so you don t have to stay there   It was close to the airport and the wifi is good ,Bad_review,0,stayed number mercure hotels recent trip hotel blight chain definitely worst mercure ve stayed lift disgrace experienced believed halfway long narrow ground floor corridor size shoe box non automatic closing doors addams family right home lift overall feel hotel demolition kind renovation thing saves location close airport service ordinary breakfast overpriced favour catch earlier flight don stay close airport wifi good
 slightly noisy at night when people are passing by the window we were on 1st floor   mattress beautiful room river view great staff,Good_review,1,slightly noisy night people passing window floor mattress beautiful room river view great staff
 WiFi might need to be upgraded   Very friendly staff excellent room breakfast good location Overall all perfect ,Good_review,1,wifi need upgraded friendly staff excellent room breakfast good location overall perfect
 unwelcoming staff at the reception I was early for check in so I wanted to use the spa in the meanwhile included in the booking I queued for the main reception and I was told to go directly there the woman didn t even look carefully at my confirmation At the spa reception after queueing again I was told I needed tickets so Had to go back to the main reception after queueing again where I explained this ridiculous situation and no apologies were made I genuinely think the receptionist wasn t able understand what I was saying in English after check in we went to our room and there where hair all over the bed We asked to change room and for the manager to come to check the new one together with us There were hair on the bed of the second room too We asked for any sort of benefit to recover such an uncomfortable situation for a 4 stars hotel but they were totally refused Cleaners came to re do the bed It was clear that the hotel staff didn t really consider this matter a concern which was really disappointing after checkout we left our luggage in the storage room when we came back after few hours one was missing The hotel staff struggled to help us as if this was not a big deal They just mentioned they might have an insurance but they didn t know the details it was clear they didn t know their policy to deal with this type of event It has been really frustrating and such a bad way to end our holiday not considering the loss of money   decent breakfast enjoyable spa circuit although not quite clean,Bad_review,0,unwelcoming staff reception early check wanted use spa included booking queued main reception told directly woman didn look carefully confirmation spa reception queueing told needed tickets main reception queueing explained ridiculous situation apologies genuinely think receptionist wasn able understand saying english check went room hair bed asked change room manager come check new hair bed room asked sort benefit recover uncomfortable situation stars hotel totally refused cleaners came bed clear hotel staff didn consider matter concern disappointing checkout left luggage storage room came hours missing hotel staff struggled help big deal mentioned insurance didn know details clear didn know policy deal type event frustrating bad way end holiday considering loss money decent breakfast enjoyable spa circuit clean
  Extremely happy with our stay staff were very friendly and location was perfect ,Good_review,1,extremely happy stay staff friendly location perfect
  The staff in the lobby was extremely friendly and helpful Thanks ,Good_review,1,staff lobby extremely friendly helpful thanks
 Water should be given each day of the stay in the hotel not only for the first day You could have possibility to meet not really friendly staff   A tram stop next to the hotel and You need 20 minutes to get to the city center Check in out easy using the automatic machine ,Bad_review,0,water given day stay hotel day possibility meet friendly staff tram stop hotel need minutes city center check easy automatic machine
 Basic food but good No espresso   Staff was very helpful and polite many thanks to Mr W from reception who helped us to change the rooms due to a Bookings com error Quick check in check out We really enjoyed the free shuttle bus to from Brent Cross U station and to from the nearby shopping mall ,Good_review,1,basic food good espresso staff helpful polite thanks mr reception helped change rooms bookings error quick check check enjoyed free shuttle bus brent cross station nearby shopping mall
 All good  Near to station for departure,Good_review,1,good near station departure
  Everything ,Good_review,1,
 Size of the room and bathroom   Location and staff ,Good_review,1,size room bathroom location staff
 bathrooms looking a bit tired needs some renovation  very good location especially for the price,Good_review,1,bathrooms looking bit tired needs renovation good location especially price
 The room was very noisy as it was facing a busy intersection Also acess to the terrace was limited as guests of the hotel cannot reserve a table on the terrace and it is very busy   The room was lovely and very clean ,Good_review,1,room noisy facing busy intersection acess terrace limited guests hotel reserve table terrace busy room lovely clean
  Rooms are small but if you re ok with that this is a great bolthole in a cool and up coming part of the city close to Brick Lane Front desk were incredibly helpful and rooms were spotlessly clean and well appointed Would benefit from 24 hour room service as it was past midnight when I checked in and the restaurant was closed But overall would thoroughly recommend ,Good_review,1,rooms small ok great bolthole cool coming city close brick lane desk incredibly helpful rooms spotlessly clean appointed benefit hour room service past midnight checked restaurant closed overall thoroughly recommend
 Could off been more choice on breakfast  Room fantastic,Good_review,1,choice breakfast room fantastic
  Room was spacious and clean I asked for a quiet room which they arranged so I was at the back of the hotel Staff were very friendly ,Good_review,1,room spacious clean asked quiet room arranged hotel staff friendly
 Tables in restaurant could do with being a bit bigger Signs warning of busy breakfast period and the possibility of the need to que   Clean comfortable room Excellent choice at breakfast Friendly relaxing feel to the hotel ,Good_review,1,tables restaurant bit bigger signs warning busy breakfast period possibility need que clean comfortable room excellent choice breakfast friendly relaxing feel hotel
 Disappointed by housekeeping staff knocking on door to clean room before 8 30am on day of checkout   The view from our room of the docks and the location of the hotel were excellent The staff in reception were very welcoming nothing was too much trouble ,Good_review,1,disappointed housekeeping staff knocking door clean room 30am day checkout view room docks location hotel excellent staff reception welcoming trouble
   The Room was great ,Good_review,1,room great
 Breakfast a little limited  Location very modern stylish rooms,Good_review,1,breakfast little limited location modern stylish rooms
  Cheap and clean,Good_review,1,cheap clean
 No price was shown on the menus   Room was very comfortable and clean Breakfast was good ,Good_review,1,price shown menus room comfortable clean breakfast good
 it was all fine   the view was wonderful of tower bridge at night ,Good_review,1,fine view wonderful tower bridge night
 The room was much smaller than described  The location,Good_review,1,room smaller described location
 I like the place in hotel center  I like this hotels because is quite in Rambles feel great center,Good_review,1,like place hotel center like hotels rambles feel great center
 Everything was fantastic  Absolutely everything,Good_review,1,fantastic absolutely
 The hotel is on a busy road and rooms at the front suffer traffic noise   Well located near public transport stops and a 20 minute walk to the historic centre ,Good_review,1,hotel busy road rooms suffer traffic noise located near public transport stops minute walk historic centre
 Room was to small ,Good_review,1,room small
  Nice rooms Comfortable beds,Good_review,1,nice rooms comfortable beds
 Very noisy building site in operation throughout the stay Should have been informed before booking as travelled with autistic daughter Extras such as parking and WiFi very disappointing  ,Bad_review,0,noisy building site operation stay informed booking travelled autistic daughter extras parking wifi disappointing
 Didn t have breakfast as thought it was too expensive for what we saw there   Fantastic room with a free mini bar Shower is amazing Not far from the aerobus drop off 5 10 min walk and near gothic quarter ,Good_review,1,didn breakfast thought expensive saw fantastic room free mini bar shower amazing far aerobus drop min walk near gothic quarter
 Was a little hard to find due to the construction work going on around it   The room was perfect and the bed was really comfortable ,Good_review,1,little hard find construction work going room perfect bed comfortable
 Air conditioned rooms Bottled water would have been good to have   Breakfast buffet very good with lots of choice All staff very helpful and friendly Asked for extra tea bags and milk in reception and before we had managed to travel in lift back to room all had been delivered Well Done ,Good_review,1,air conditioned rooms bottled water good breakfast buffet good lots choice staff helpful friendly asked extra tea bags milk reception managed travel lift room delivered
 The staff were extremely unpleasant particularly the reception staff rude slow and unhelpful The waiter in the restaurant was good though Breakfast ladies were completely sour fancy having to serve English speaking people at breakfast in a tourist hotel   Classic old Italian style decor ,Bad_review,0,staff extremely unpleasant particularly reception staff rude slow unhelpful waiter restaurant good breakfast ladies completely sour fancy having serve english speaking people breakfast tourist hotel classic old italian style decor
 Room rate is expense  Staff location is nice,Good_review,1,room rate expense staff location nice
 It would be better to have the complimentary water bottles restocked everyday   Gabi the receptionist was very kind Walking distance from any City office Modern high tech lighting in the room ,Good_review,1,better complimentary water bottles restocked everyday gabi receptionist kind walking distance city office modern high tech lighting room
  Good location frendly staff,Good_review,1,good location frendly staff
 WiFi in room only available in a certain place by the door  Lovely breakfast cooked to order pancakes,Good_review,1,wifi room available certain place door lovely breakfast cooked order pancakes
 Bas  Place,Good_review,1,bas place
 The breakfast was dreadful The staff didn t understand our requests We had to wait ages and still didn t get what we had asked for all with a smile This doesn t make up for cold eggs and no toast I was also allotted a room in the new building with out warning and without the receptionists discovering that I could not walk as far or negotiate steps This was rectified immediately but it was quite upsetting nevertheless   Everybody smiles and greets you but that doesn t discount the problems we had ,Good_review,1,breakfast dreadful staff didn understand requests wait ages didn asked smile doesn cold eggs toast allotted room new building warning receptionists discovering walk far negotiate steps rectified immediately upsetting everybody smiles greets doesn discount problems
  Could not have been a better location right off of Lancaster Square Very quiet on upper floors and wonderful views Windows do not open so they can control the noise but have a wonderful strong air conditioning system in every room Restaurants and bars galore safe area walk to all of Covent Garden so ho and of course Piccadilly Circus restaurants and theaters ,Good_review,1,better location right lancaster square quiet upper floors wonderful views windows open control noise wonderful strong air conditioning system room restaurants bars galore safe area walk covent garden ho course piccadilly circus restaurants theaters
 Our room was for 3 and when we checked in it took a while for them to get us 3 of everything but this is a minor quibble It is expensive and for what I paid it would have been good to have breakfast included   bed was very comfortable and the extra bed was of a very comparable standard too bathroom was top notch as were Herm s bath products tea coffee making facilities very good and of high standard fantastic location room service very good We were tired and so it was worth doing ,Good_review,1,room checked took minor quibble expensive paid good breakfast included bed comfortable extra bed comparable standard bathroom notch herm bath products tea coffee making facilities good high standard fantastic location room service good tired worth
 The dark furniture and it was a bit difficult to figure out how the light system works in the room   Loved the breakfast and the back garden The bath tub and bath products were lovely ,Good_review,1,dark furniture bit difficult figure light system works room loved breakfast garden bath tub bath products lovely
 Bear in mind at check in hotel charge you deposit full amount of your staying additional 70 euro per day No free wifi in rooms Very noisy starting early morning If you want to sleep well before important meeting definitely is not this place Poor minibar   Perfect location next to train station from to airport and to hop on bus stop Good breakfast ,Good_review,1,bear mind check hotel charge deposit staying additional euro day free wifi rooms noisy starting early morning want sleep important meeting definitely place poor minibar perfect location train station airport hop bus stop good breakfast
 Very small room No wardrobe No surface in the bathroom shower to put personal bath items or shower bag   The bed was big and comfortable Free movies in the TV Friendly staff Good shower with heated mirror No noise from other rooms and corridor ,Good_review,1,small room wardrobe surface bathroom shower personal bath items shower bag bed big comfortable free movies tv friendly staff good shower heated mirror noise rooms corridor
  Great location fab price comfy bed nice staff,Good_review,1,great location fab price comfy bed nice staff
 The rooms are very small but this is normal for London   To me this hotel is an ideal option of staying in the centre of London at reasonable price at London rates The hotel is walking distance from Paddington and Hyde park It s located on a very quiet street in a beautiful building The rooms bed linen and towels are clean Bed mattress is comfy ,Good_review,1,rooms small normal london hotel ideal option staying centre london reasonable price london rates hotel walking distance paddington hyde park located quiet street beautiful building rooms bed linen towels clean bed mattress comfy
 Costly  wonderful staff and facilities,Good_review,1,costly wonderful staff facilities
 I never thought I de be saying this because I had very high expectations about this hotel it is just 150 metres away from the underground station the neighborhood is quiet and lovely and the hotel looks really AMAZING on the inside yet the service is terrible It seems more one of a cheap hostel rather than one of a four stars hotel Here s why One day I asked the receptionist if it was possible to heat a pizza in the microwave of the kitchen He said it was not a problem and so I went out got a pizza and came back at the hotel There one of his colleagues they do not provide that kind of service and so I had to literally throw the pizza in the rubbish and it was 11 00 pm back then so it was all closed and I was STARVING so I had to wait for the very next day to eat something The air conditioning in my room made a terrible noise I don t know if it was broken or something and it was impossible to sleep Every night I had to turn on the tv to cover that annoying noise and fall asleep The next day I was in a rush and I needed one more toilet paper and a toothbrush so I went down at the reception asked for it and it took them 40 minutes to bring me wait for it only the toilet paper I had to wait 15 minutes more for a simple toothbrush How crazy Moving the bed for picking up an earring that accidentally fell on the floor I found two hair pins which where obviously not mine The room wasn t clean enough Last but not least on the day of my check out at about 10 00 am more or less I was making my luggages and the waitress roughly got into my room using her pass WITHOUT EVEN KNOCKING ON THE DOOR FIRST What I mean W H A T What if I was getting dressed or just anything else I was with my mom that morning and she was furious UNACCEPTABLE  ,Bad_review,0,thought de saying high expectations hotel metres away underground station neighborhood quiet lovely hotel looks amazing inside service terrible cheap hostel stars hotel day asked receptionist possible heat pizza microwave kitchen said problem went got pizza came hotel colleagues provide kind service literally throw pizza rubbish pm closed starving wait day eat air conditioning room terrible noise don know broken impossible sleep night turn tv cover annoying noise fall asleep day rush needed toilet paper toothbrush went reception asked took minutes bring wait toilet paper wait minutes simple toothbrush crazy moving bed picking earring accidentally fell floor found hair pins obviously room wasn clean day check making luggages waitress roughly got room pass knocking door mean getting dressed mom morning furious unacceptable
 The room was tiny you could not swing a cat the smallest bathroom I have ever seen The hot food on the buffet table was cold and over cooked  Plenty of choice for breakfast off the cold table,Bad_review,0,room tiny swing cat smallest bathroom seen hot food buffet table cold cooked plenty choice breakfast cold table
 Room service food was not so great   The staff were excellent and the room spacious modern and clean One of the best hotels we have stayed in in London and much cheaper than usual ,Good_review,1,room service food great staff excellent room spacious modern clean best hotels stayed london cheaper usual
 Breakfast is usual Lack of Spanish touch  Very helpful receptionists,Good_review,1,breakfast usual lack spanish touch helpful receptionists
  Friendly staff Great location,Good_review,1,friendly staff great location
 The only negative point to our stay was that the hotel could not cater for my Coeliacs disease even though I e mailed them to see prior to arrival My options were limited to Sandwiches or cake so was disappointed with the food   Friendly staff ,Good_review,1,negative point stay hotel cater coeliacs disease mailed prior arrival options limited sandwiches cake disappointed food friendly staff
  Located in the residential area of the city but only 15 20 min walk into the city Lovely place to stay and very helpful friendly staff I was alone and felt safe always in and around the hotel,Good_review,1,located residential area city min walk city lovely place stay helpful friendly staff felt safe hotel
  The wide variety and choice of food and drinks,Good_review,1,wide variety choice food drinks
 The bathroom designed with classes so your roommate can see your shadow in the bathroom   It is in a quite area,Bad_review,0,bathroom designed classes roommate shadow bathroom area
  Superb breakfast 24 but worth it and you can wait til dinner to eat ,Good_review,1,superb breakfast worth wait til dinner eat
  Staff friendly and helpful Great location,Good_review,1,staff friendly helpful great location
 a towel rail in the room and more hangers which came when we asked Did not like the d cor in the bedrooms but amazing building and hugely high ceilings impressive Think lack of air conditioning could be a problem we were just alright during our stay   very nice staff comfortable bed good location,Good_review,1,towel rail room hangers came asked like cor bedrooms amazing building hugely high ceilings impressive think lack air conditioning problem alright stay nice staff comfortable bed good location
  Loved everything about INK and would definitely stay there again ,Good_review,1,loved ink definitely stay
  Our beautiful room the breakfast with so many choices the wonderful staff and all te facilities Wow ,Good_review,1,beautiful room breakfast choices wonderful staff te facilities wow
 Zero hospitality  I wish they change the stiff in the front desk,Bad_review,0,hospitality wish change stiff desk
 Nothing we didn t like  Free wifi cheap parking quick easy check in ice machine available located near our room ,Good_review,1,didn like free wifi cheap parking quick easy check ice machine available located near room
 Can t really find a fault   Everything in the hotel was A1 the location off the hotel was exellent for all the sights special places London has to offer was easily accessible really nice bars cafes restaurants heritage off the city close to hand bit pricey but I understand it s central London and you pay for that extra special hotel location ,Good_review,1,find fault hotel a1 location hotel exellent sights special places london offer easily accessible nice bars cafes restaurants heritage city close hand bit pricey understand central london pay extra special hotel location
 The only thing we could have done with I d access to a pool to relax in at the end of the day   The hotel was fantastic in every way ,Good_review,1,thing access pool relax end day hotel fantastic way
